trade_date,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2020-10-28,-0.11111111111111116,-0.1875,0.3999999999999999
2020-10-29,-0.5,-0.07692307692307687,0.0
2020-10-30,-0.5,0.0,0.0714285714285714
2020-11-02,1.0,-0.33333333333333337,-0.1333333333333333
2020-11-03,0.375,0.0,0.0
2020-11-04,0.2727272727272727,-0.125,0.15384615384615374
2020-11-05,0.1428571428571428,0.4285714285714286,0.1333333333333333
2020-11-06,0.125,0.5,0.05882352941176472
2020-11-09,0.0,0.19999999999999996,-0.2222222222222222
2020-11-10,0.7222222222222223,0.2777777777777777,0.2142857142857142
2020-11-11,-0.032258064516129004,-0.08695652173913049,-0.05882352941176472
2020-11-12,0.19999999999999996,-0.04761904761904767,-0.1875
2020-11-13,-0.05555555555555558,-0.19999999999999996,0.07692307692307687
2020-11-16,0.05882352941176472,-0.25,-0.0714285714285714
2020-11-18,-0.5,0.0,-0.11764705882352944
2020-11-19,0.0,0.0,0.0
2020-11-20,0.05555555555555558,-0.05882352941176472,-0.2666666666666667
2020-11-23,0.05263157894736836,0.0,0.4545454545454546
2020-11-24,0.10000000000000009,-0.125,-0.125
2020-11-25,0.2727272727272727,0.0714285714285714,0.2142857142857142
2020-11-26,-0.0357142857142857,-0.1333333333333333,-0.2941176470588235
2020-11-27,-0.18518518518518523,-0.15384615384615385,-0.33333333333333337
2020-11-30,-0.09090909090909094,0.18181818181818188,0.0
2020-12-01,-0.09999999999999998,-0.07692307692307687,0.0
2020-12-02,-0.38888888888888884,-0.08333333333333337,0.0
2020-12-03,-0.6363636363636364,-0.18181818181818177,0.0
2020-12-04,1.0,0.6666666666666667,0.125
2020-12-07,1.25,0.46666666666666656,0.4444444444444444
2020-12-08,0.6666666666666667,0.18181818181818188,0.3846153846153846
2020-12-09,-0.19999999999999996,-0.038461538461538436,-0.16666666666666663
2020-12-10,0.33333333333333326,-0.16000000000000003,-0.2666666666666667
2020-12-11,0.0625,-0.04761904761904767,0.18181818181818188
2020-12-14,0.47058823529411775,0.0,0.23076923076923084
2020-12-16,-0.7,0.0714285714285714,-1.0769230769230769
2020-12-17,-0.06666666666666665,0.1333333333333333,1.0
2020-12-18,-0.0714285714285714,-0.17647058823529416,1.0
2020-12-21,0.15384615384615374,0.2571428571427532,-1.550000000000182
2020-12-22,0.33333333333333326,0.07954545454554385,-0.18181818181878318
2020-12-23,-0.09999999999999998,-0.3157894736842105,-1.0
2020-12-24,0.0,0.0,-inf
2020-12-29,-0.43333333333329294,-0.23076923076923073,-0.5
2020-12-30,0.07843137254894272,0.5,5.0
2020-12-31,0.4545454545454546,0.33333333333333326,0.33333333333333326
2021-01-04,0.0625,-0.15000000000000002,0.375
2021-01-05,-0.5294117647058824,-0.4117647058823529,-0.6363636363636364
2021-01-06,0.0,0.0,0.0
2021-01-07,0.875,0.5,1.5
2021-01-08,0.0,0.0,-0.09999999999999998
2021-01-11,0.7333333333333334,-0.19999999999999996,0.0
2021-01-12,0.0,-0.33333333333333337,-1.2222222222222223
2021-01-13,0.1923076923076923,0.5,-0.5
2021-01-14,-0.032258064516129004,-0.6666666666666667,8.0
2021-01-15,0.16666666666666674,0.5,-0.7777777777777778
2021-01-18,-0.6571428571428571,-1.0,1.0
2021-01-20,-1.6666666666666665,0.19999999999999996,0.30000000000000004
2021-01-21,-0.75,-0.8333333333333334,-0.23076923076923073
2021-01-22,0.5,2.0,0.0
2021-01-25,-0.6666666666666667,-0.33333333333333337,-0.4
2021-01-26,-1.0,1.0,-0.16666666666666663
2021-01-27,-inf,-0.75,-0.6
2021-01-28,-7.799999999999272,13.0,3.0
2021-01-29,-0.1911764705881488,-0.3571428571428571,-0.25
2021-02-01,-0.09090909090909094,-0.7555555555554747,-0.16666666666666663
2021-02-02,0.7,3.090909090907738,0.19999999999999996
2021-02-03,0.23529411764705888,0.22222222222222232,0.5
2021-02-04,-0.8095238095238095,-0.4545454545454546,-0.2222222222222222
2021-02-05,3.5,1.0,1.4285714285714284
2021-02-08,-0.4444444444444444,0.5,0.17647058823529416
2021-02-09,0.0,0.0,-0.15000000000000002
2021-02-10,-0.8,-0.38888888888888884,-0.2941176470588235
2021-02-11,5.0,0.2727272727272727,-0.16666666666666663
2021-02-12,1.3333333333333335,1.4285714285714284,1.2000000000000002
2021-02-15,1.1428571428571428,0.0,0.2727272727272727
2021-02-17,-0.6333333333333333,-0.34615384615384615,0.5
2021-02-18,0.0,0.23529411764705888,0.06666666666666665
2021-02-19,0.4545454545454546,0.19047619047619047,0.3125
2021-02-22,-0.3125,-0.28,-0.16666666666666663
2021-02-23,0.0,-0.11111111111111116,-0.1428571428571429
2021-02-24,0.4545454545454546,0.5,0.1333333333333333
2021-02-25,-0.0625,-0.16666666666666663,0.0
2021-02-26,0.19999999999999996,-0.15000000000000002,-0.2941176470588235
2021-03-01,0.22222222222222232,0.17647058823529416,-0.16666666666666663
2021-03-02,0.18181818181818188,0.6000000000000001,0.44999999999999996
2021-03-03,-0.15384615384615385,-0.25,-0.3448275862068966
2021-03-04,-0.09090909090909094,0.0,-0.052631578947368474
2021-03-05,-0.05499999999992722,-0.16666666666666663,0.0
2021-03-08,0.03174603174595236,0.25,0.4444444444444444
2021-03-09,-0.07692307692307687,-0.040000000000000036,-0.07692307692307687
2021-03-10,-0.05555555555555558,-0.125,-0.16666666666666663
2021-03-11,-0.4117647058823529,-0.19047619047619047,-0.050000000000000044
2021-03-12,1.0,0.41176470588235303,0.368421052631579
2021-03-15,-0.30000000000000004,0.125,0.1923076923076923
2021-03-17,-0.25,0.3125,1.0625
2021-03-18,0.23809523809523814,0.1428571428571428,0.1212121212121211
2021-03-19,0.15384615384615374,0.125,0.027027027027026973
2021-03-22,-0.2666666666666667,-0.18518518518518523,-0.1842105263157895
2021-03-23,-0.2727272727272727,-0.2272727272727273,-0.29032258064516125
2021-03-24,-0.375,-0.5294117647058824,-0.18181818181818177
2021-03-25,0.8,0.625,0.2777777777777777
2021-03-26,0.0,0.0,0.0
2021-03-29,-0.2777777777777778,-0.23076923076923073,-0.13043478260869568
2021-03-30,-0.23076923076923073,-0.4,-0.4
2021-03-31,0.6000000000000001,-0.16666666666666663,0.08333333333333326
2021-04-01,0.125,0.8,0.15384615384615374
2021-04-06,0.2777777777777777,0.4444444444444444,0.33333333333333326
2021-04-07,-0.21739130434782605,-0.23076923076923073,-0.4
2021-04-08,0.22222222222222232,0.0,0.0
2021-04-09,-0.13636363636363635,-0.19999999999999996,-0.25
2021-04-12,-0.368421052631579,-1.0,-0.11111111111111116
2021-04-13,-0.33333333333333337,inf,-0.375
2021-04-14,1.0,2.5,0.8
2021-04-15,0.1875,1.1428571428571428,0.5555555555555556
2021-04-16,0.6842105263157894,-0.1333333333333333,0.1428571428571428
2021-04-19,-0.5625,-0.3846153846153846,0.0
2021-04-21,0.1428571428571428,0.6000000000000001,0.6363636363636365
2021-04-22,0.0625,-0.1875,-0.11111111111111116
2021-04-23,0.11764705882352944,0.0,0.125
2021-04-26,-0.21052631578947367,-0.15384615384615385,0.05555555555555558
2021-04-27,-0.4666666666666667,-0.4545454545454546,-0.368421052631579
2021-04-28,0.25,0.33333333333333326,0.5833333333333333
2021-04-29,0.5,0.25,-0.21052631578947367
2021-04-30,0.1333333333333333,-0.19999999999999996,-0.2666666666666667
2021-05-04,-0.11764705882352944,-0.125,-0.2727272727272727
2021-05-05,-0.33333333333333337,-0.1428571428571429,-0.25
2021-05-06,0.19999999999999996,0.16666666666666674,1.3333333333333335
2021-05-07,0.0,-0.1428571428571429,-0.2857142857142857
2021-05-10,-0.8333333333333334,-1.5,-0.6
2021-05-11,-13.0,1.6666666666666665,-1.5
2021-05-12,-0.04166666666666663,1.0,0.0
2021-05-13,0.13043478260869557,0.25,5.0
2021-05-14,0.8461538461538463,0.5,1.5
2021-05-17,0.16666666666666674,0.0,-0.1333333333333333
2021-05-19,-0.5,-0.4,-0.52
2021-05-20,0.0,-0.2222222222222222,-0.5
2021-05-21,-0.1428571428571429,-0.2857142857142857,-1.0
2021-05-24,-0.08333333333333337,0.30000000000000004,-inf
2021-05-25,0.045454545454545414,-0.07692307692307687,0.0
2021-05-26,0.08695652173913038,-0.08333333333333337,0.33333333333333326
2021-05-27,0.15999999999999992,0.036363636363768714,0.5
2021-05-28,-0.03448275862068961,-0.473684210526383,0.5
2021-06-01,0.0,0.16666666666666674,-0.16666666666666663
2021-06-02,0.2642857142857662,1.1428571428571428,0.2666666666666666
2021-06-03,0.07344632768357173,0.06666666666666665,0.3157894736842106
2021-06-04,-0.10526315789473684,-0.0625,-0.19999999999999996
2021-06-07,0.17647058823529416,-0.06666666666666665,0.1499999999999999
2021-06-08,0.30000000000000004,0.6428571428571428,0.08695652173913038
2021-06-09,-0.13461538461538458,0.08695652173913038,-0.12
2021-06-10,0.11111111111111116,0.19999999999999996,0.18181818181818188
2021-06-11,0.08000000000000007,0.06666666666666665,0.0
2021-06-14,0.14814814814814814,0.15625,0.26923076923076916
2021-06-16,-0.3870967741935484,-0.25,-0.3870967741935484
2021-06-17,-0.052631578947368474,-0.06666666666666665,-0.052631578947368474
2021-06-18,-0.02777777777777779,-0.0714285714285714,-0.11111111111111116
2021-06-21,-0.02857142857142858,-0.07692307692307687,-0.375
2021-06-22,0.05882352941176472,0.08333333333333326,0.19999999999999996
2021-06-23,0.05555555555555558,0.26923076923076916,0.6666666666666667
2021-06-24,-0.02631578947368418,-0.030303030303030276,-0.30000000000000004
2021-06-25,0.0,-0.125,0.0
2021-06-28,0.0,0.0714285714285714,0.1428571428571428
2021-06-29,-0.18918918918918914,-0.19999999999999996,-0.75
2021-06-30,0.0,0.0,-1.5
2021-07-01,0.2333333333333334,0.5,-8.0
2021-07-02,-0.02918918918923641,-0.05555555555555558,0.5714285714285714
2021-07-05,0.06904231625844437,0.05882352941176472,0.0
2021-07-06,0.03645833333318027,-0.05555555555555558,0.0
2021-07-07,0.004020100502600821,0.02941176470588225,0.3181818181818181
2021-07-08,0.20120120120122742,0.1428571428571428,0.10206896551721134
2021-07-09,0.08333333333333326,0.050000000000000044,-0.03003754693364058
2021-07-12,-0.07692307692307687,-0.11904761904761907,-0.19354838709677424
2021-07-13,0.125,0.10810810810810811,0.28
2021-07-14,0.03703703703703698,0.11707317073177825,0.15625
2021-07-15,-0.0535714285714286,-0.039301310043729165,-0.1459459459459853
