trade_date,M1_price,M2_price,M3_price,M4_price,M1_M2_spread,M2_M3_spread,M3_M4_spread,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2023-12-14,8463.51,8502.5,8532.5,8553.25,-38.98999999999978,-30.0,-20.75,0.023359580052477957,0.0,0.32927610506080884
2023-12-15,8456.25,8495.25,8527.25,8550.5,-39.0,-32.0,-23.25,0.00025647601949785326,0.06666666666666665,0.12048192771084332
2023-12-18,8393.81,8425.81,8457.81,8482.26,-32.0,-32.0,-24.450000000000728,-0.17948717948717952,0.0,0.05161290322583767
2023-12-20,8524.0,8557.0,8582.5,8600.5,-33.0,-25.5,-18.0,0.03125,-0.13559322033898302,-0.25
2023-12-21,8538.0,8571.5,8596.5,8615.25,-33.5,-25.0,-18.75,0.015151515151515138,-0.019607843137254943,0.04166666666666674
2023-12-22,8514.5,8549.0,8575.0,8593.5,-34.5,-26.0,-18.5,0.029850746268656803,0.040000000000000036,-0.013333333333333308
2023-12-27,8620.0,8659.0,8687.0,8708.0,-39.0,-28.0,-21.0,0.13043478260869557,0.07692307692307687,0.1351351351351351
2023-12-28,8556.75,8594.75,8621.0,8640.17,-38.0,-26.25,-19.170000000000073,-0.02564102564102566,-0.0625,-0.08714285714285364
2023-12-29,8488.5,8528.5,8555.5,8575.0,-40.0,-27.0,-19.5,0.05263157894736836,0.02857142857142847,0.017214397496083667
2024-01-02,8463.75,8507.25,8534.75,8556.0,-43.5,-27.5,-21.25,0.08749999999999991,0.0185185185185186,0.08974358974358965
2024-01-03,8438.75,8480.75,8506.75,8527.26,-42.0,-26.0,-20.51000000000022,-0.03448275862068961,-0.054545454545454564,-0.034823529411754484
2024-01-04,8383.25,8426.75,8453.75,8476.75,-43.5,-27.0,-23.0,0.03571428571428581,0.03846153846153855,0.12140419307653616
2024-01-05,8374.75,8420.25,8449.0,8473.0,-45.5,-28.75,-24.0,0.04597701149425282,0.06481481481481488,0.04347826086956519
2024-01-08,8351.74,8397.74,8429.49,8456.0,-46.0,-31.75,-26.51000000000022,0.01098901098901095,0.10434782608695659,0.10458333333334235
2024-01-09,8273.75,8318.75,8349.25,8375.75,-45.0,-30.5,-26.5,-0.021739130434782594,-0.03937007874015752,-0.00037721614485919375
2024-01-10,8277.25,8321.5,8352.5,8375.25,-44.25,-31.0,-22.75,-0.01666666666666672,0.016393442622950838,-0.14150943396226412
2024-01-11,8264.0,8308.0,8337.25,8358.99,-44.0,-29.25,-21.73999999999978,-0.005649717514124242,-0.056451612903225756,-0.04439560439561396
2024-01-12,8242.75,8286.75,8319.25,8342.5,-44.0,-32.5,-23.25,0.0,0.11111111111111116,0.06945722171114221
2024-01-15,8284.0,8330.0,8359.5,8381.85,-46.0,-29.5,-22.350000000000364,0.045454545454545414,-0.09230769230769231,-0.03870967741933917
2024-01-17,8216.25,8247.75,8268.0,8285.5,-31.5,-20.25,-17.5,-0.3152173913043478,-0.3017241379310345,-0.09090909090909094
2024-01-18,8261.75,8292.25,8311.75,8329.25,-30.5,-19.5,-17.5,-0.031746031746031744,-0.03703703703703709,0.0
2024-01-19,8306.76,8336.25,8353.25,8368.5,-29.48999999999978,-17.0,-15.25,-0.03311475409836784,-0.1282051282051282,-0.12857142857142856
2024-01-22,8289.5,8322.5,8343.5,8362.5,-33.0,-21.0,-19.0,0.11902339776196147,0.23529411764705888,0.24590163934426235
2024-01-23,8348.0,8382.5,8402.5,8421.0,-34.5,-20.0,-18.5,0.045454545454545414,-0.04761904761904767,-0.02631578947368418
2024-01-24,8506.99,8541.99,8561.49,8578.49,-35.0,-19.5,-17.0,0.01449275362318847,-0.025000000000000022,-0.08108108108108103
2024-01-25,8508.0,8543.0,8567.0,8586.0,-35.0,-24.0,-19.0,0.0,0.23076923076923084,0.11764705882352944
2024-01-26,8479.05,8514.8,8541.55,8563.49,-35.75,-26.75,-21.94000000000051,0.021428571428571352,0.11458333333333326,0.15473684210528993
