trade_date,M1-M2_volatility,M2-M3_volatility,M3-M4_volatility
2020-11-26,33.92946501788042,14.942806815939221,35.77173566885593
2020-11-27,27.086667513876318,17.605327553371076,39.78365887383818
2020-11-30,32.81146638188704,20.269104967825154,44.36084370791938
2020-12-01,29.538065959956867,16.968522322728035,32.19865073560638
2020-12-02,28.031949056635717,16.135139803241266,23.74910989345999
2020-12-03,54.56917498774516,15.8291135885926,17.81735894109057
2020-12-04,85.8321434452828,20.971989995372088,13.612498034060392
2020-12-07,125.44472836110214,21.460909131238914,15.468926763645273
2020-12-08,161.29649088904677,19.710250241826625,47.319188190835575
2020-12-09,138.14003301734374,16.528011249178487,50.38558969768985
2020-12-10,101.58592094216085,14.526230884708932,42.979169109186415
2020-12-11,83.58481635207458,18.964276020221185,42.76932461446954
2020-12-14,58.27619053737557,16.608005001878478,37.50691099269326
